mmsi,blackout_start_ts,blackout_end_ts,blackout_hours,draught_before_m,draught_after_m,change_pct
255807000,1755069879.0,1755135943.0,18.351,3.6,6.5,80.56
244710091,1755129580.0,1755160046.0,8.463,3.7,6.5,75.68
