CMDLINE python cli.py
MEM 21.714844 1775679340.1112
MEM 21.714844 1775679340.2114
MEM 21.714844 1775679340.3117
MEM 21.714844 1775679340.4119
MEM 21.714844 1775679340.5126
MEM 21.714844 1775679340.6129
MEM 21.714844 1775679340.7132
MEM 21.714844 1775679340.8135
MEM 21.714844 1775679340.9137
MEM 21.714844 1775679341.0140
MEM 21.714844 1775679341.1143
MEM 21.714844 1775679341.2145
MEM 21.714844 1775679341.3148
MEM 21.714844 1775679341.4151
MEM 21.714844 1775679341.5153
MEM 21.714844 1775679341.6155
MEM 21.714844 1775679341.7158
MEM 21.714844 1775679341.8161
MEM 21.714844 1775679341.9163
MEM 21.714844 1775679342.0165
MEM 21.714844 1775679342.1167
MEM 21.714844 1775679342.2169
MEM 21.714844 1775679342.3171
MEM 21.714844 1775679342.4174
MEM 21.714844 1775679342.5177
MEM 21.718750 1775679342.6179
MEM 21.718750 1775679342.7182
MEM 21.718750 1775679342.8184
MEM 21.718750 1775679342.9187
MEM 21.718750 1775679343.0190
MEM 21.718750 1775679343.1192
MEM 21.718750 1775679343.2194
MEM 21.718750 1775679343.3197
MEM 21.718750 1775679343.4200
MEM 21.718750 1775679343.5202
MEM 21.718750 1775679343.6204
MEM 21.718750 1775679343.7207
MEM 21.718750 1775679343.8210
MEM 21.718750 1775679343.9212
MEM 21.718750 1775679344.0222
MEM 21.718750 1775679344.1224
MEM 21.718750 1775679344.2227
MEM 21.718750 1775679344.3229
MEM 21.718750 1775679344.4232
MEM 21.718750 1775679344.5243
MEM 21.718750 1775679344.6246
MEM 21.718750 1775679344.7248
MEM 21.718750 1775679344.8253
MEM 21.718750 1775679344.9256
MEM 21.718750 1775679345.0258
MEM 21.718750 1775679345.1260
MEM 21.718750 1775679345.2263
MEM 21.718750 1775679345.3265
MEM 21.718750 1775679345.4268
MEM 21.718750 1775679345.5270
MEM 21.718750 1775679345.6273
MEM 21.718750 1775679345.7276
MEM 21.718750 1775679345.8278
MEM 21.718750 1775679345.9280
MEM 21.718750 1775679346.0283
MEM 21.718750 1775679346.1289
MEM 21.718750 1775679346.2292
MEM 21.718750 1775679346.3294
MEM 21.718750 1775679346.4296
MEM 21.718750 1775679346.5299
MEM 21.718750 1775679346.6301
MEM 21.718750 1775679346.7304
MEM 21.718750 1775679346.8306
MEM 21.718750 1775679346.9308
MEM 21.718750 1775679347.0311
MEM 21.718750 1775679347.1313
MEM 21.718750 1775679347.2315
MEM 21.718750 1775679347.3318
MEM 21.718750 1775679347.4320
MEM 21.718750 1775679347.5323
MEM 21.718750 1775679347.6325
MEM 21.718750 1775679347.7327
MEM 21.718750 1775679347.8332
MEM 21.718750 1775679347.9334
MEM 21.718750 1775679348.0337
MEM 21.718750 1775679348.1340
MEM 21.722656 1775679348.2342
MEM 21.722656 1775679348.3345
MEM 21.722656 1775679348.4347
MEM 21.722656 1775679348.5350
MEM 21.722656 1775679348.6353
MEM 21.722656 1775679348.7355
MEM 21.722656 1775679348.8358
MEM 21.722656 1775679348.9360
MEM 21.722656 1775679349.0362
MEM 21.722656 1775679349.1364
MEM 21.722656 1775679349.2367
MEM 21.722656 1775679349.3370
MEM 21.722656 1775679349.4373
MEM 21.722656 1775679349.5375
MEM 21.722656 1775679349.6377
MEM 21.722656 1775679349.7380
MEM 21.722656 1775679349.8382
MEM 21.722656 1775679349.9385
MEM 21.722656 1775679350.0388
MEM 21.722656 1775679350.1391
MEM 21.722656 1775679350.2393
MEM 21.722656 1775679350.3396
MEM 21.722656 1775679350.4398
MEM 21.722656 1775679350.5400
MEM 21.722656 1775679350.6402
MEM 21.722656 1775679350.7404
MEM 21.722656 1775679350.8407
MEM 21.722656 1775679350.9410
MEM 21.722656 1775679351.0412
MEM 21.722656 1775679351.1414
MEM 21.722656 1775679351.2416
MEM 21.722656 1775679351.3419
MEM 21.722656 1775679351.4421
MEM 21.722656 1775679351.5423
